3071789,CZ,,3507,50.3006,13.68086,,,Louny,,Lipno,Lipno,Gross Lippen,505,438 01
3072282,CZ,,3608,50.6009,15.10974,,,Semily,,Lažany,Lažany,,214,511 01
3072282,CZ,,3505,50.6009,15.10974,,,Liberec,,Lažany,Lažany,,214,463 45
3072300,CZ,,3306,48.78261,13.94148,,,Prachatice,,Láz,Láz,"Gehang,Gehäng,Laz,Láz",0,384 62
3072633,CZ,,3207,50.32833,14.68984,,,Mladá Boleslav,,Krpy,Krpy,,0,294 79
3072695,CZ,,3611,50.04678,16.39752,,,Ústí nad Orlicí,,Křížánky,Křížánky,,0,564 01
3072775,CZ,,3609,49.67969,16.62883,,,Svitavy,,Křenov,Křenov,Kronau,430,569 22
3073167,CZ,,3706,49.02683,17.1532,,,Hodonín,,Kostelec,Kostelec,Kosteletz,792,696 51
3073286,CZ,,3201,49.78304,14.65954,,,Benešov,,Konopiště,Konopiště,"Konopischt,Konopishte,Konopiste,Конописте,Конопиште",876,256 01
3073346,CZ,,3805,49.76407,17.24095,,,Olomouc,,Komárov,Komárov,Komarn,150,785 01
3073448,CZ,,3603,49.94718,15.85551,,,Chrudim,,Kočí,Kočí,,562,538 61
3073594,CZ,,3307,49.31315,13.88243,,,Strakonice,,Klínovice,Klínovice,,0,386 01
3074002,CZ,,3408,49.66693,13.62418,,,Rokycany,,Kakejcov,Kakejcov,,83,338 43
3074325,CZ,,3201,49.74323,14.7901,,,Benešov,,Jemniště,Jemniště,,0,257 01
3074427,CZ,,3605,50.56718,16.17508,,,Náchod,,Javor,Javor,"Javor,Ober Mohren",0,549 57
3074593,CZ,,3802,49.57672,18.76458,,,Frýdek-Místek,,Jablunkov,Jablunkov,"Jablonkow,Jablunkau,Jablunkov,Jablunkova,Jabłonków,jblnkww,ya bu lun ke fu,Јаблунков,Яблунков,جبلنکوو,亞布倫科夫",5782,739 91
3075002,CZ,,3212,50.00308,13.77369,,,Rakovník,,Hracholusky,Hracholusky,,75,270 41
3075015,CZ,,3504,50.78664,15.17493,,,Jablonec nad Nisou,,Hrabětice,Hrabětice,"Grafendorf,Hrabetice,Hrabětice",0,468 11
3075039,CZ,,3510,50.64331,14.01632,,,Ústí nad Labem,,Hostovice,Hostovice,Hottowies,0,400 04
3075542,CZ,,3406,49.63821,13.06255,,,Plzeň-jih,,Honezovice,Honezovice,Honositz,222,333 01
3075712,CZ,,3307,49.33469,13.80677,,,Strakonice,,Hlupín,Hlupín,,91,386 01
3076314,CZ,,3306,49.10083,14.02812,,,Prachatice,,Dubská Lhota,Dubská Lhota,,0,384 22
3076424,CZ,,3308,49.43281,14.55838,,,Tábor,,Drhovice,Drhovice,,185,391 31
3077343,CZ,,3809,49.93429,16.75488,,,Šumperk,,Crhov,Crhov,,0,789 01
3077593,CZ,,3207,50.39233,14.88389,,,Mladá Boleslav,,Chrást,Chrást,,0,293 01
3077615,CZ,,3610,50.42642,15.87858,,,Trutnov,,Choustníkovo Hradiště,Choustníkovo Hradiště,Gradlitz,605,544 42
3077649,CZ,,3212,50.11915,13.48194,,,Rakovník,,Chotěšov,Chotěšov,,0,270 33
3077800,CZ,,3304,49.59036,15.14325,,,Pelhřimov,,Chlovy,Chlovy,,0,394 22
3078438,CZ,,3709,49.50974,16.82913,,,Prostějov,,Buková,Buková,"Bukowa,Bukowá",363,798 48
3078709,CZ,,3701,49.2816,16.74952,,,Blansko,,Březina,Březina,,595,679 05
3078709,CZ,,3712,49.2816,16.74952,,,Vyškov,,Březina,Březina,,595,683 08
